id,track,wave,title,owns_files,depends_on,agent_type,model,effort,isolation,contract_artifact,verify_cmd,gate,done_rung,status,run_id,evidence
O4,kit,1,docs/ORCHESTRATION.md with the nine rungs inline,docs/ORCHESTRATION.md,O2,worker-sonnet,sonnet,high,worktree,EZiL-Works/docs/ORCHESTRATION.md;EZiL-Works/packages/contracts/src/ladder.ts,bun tools/waves.ts docs/TASKS.csv,,COMMITTED,done,wf-os-2026-09-04,"docs/ORCHESTRATION.md written (1 file, ~230 lines): the two files and 17-column table (from REQUIRED_COLUMNS in tools/waves.ts), owns_files disjoint-within-a-wave and depends_on-computes-the-wave rules, the nine DONE_LADDER rungs copied byte-for-byte from tools/waves.ts's inline doc comments with which-rung-for-which-kind-of-row examples (O2 tool port -> INDEPENDENT_TEST_PASS, T3 workflow -> STATIC_CHECKS_PASS until its first real run, N1 cutover -> TARGET_ENVIRONMENT_CONFIRMED, this row -> COMMITTED), the RunArtifact shape and the supervisor's run_id-matching stamping rule (observed directly: this row's own CSV cells carried status=running/run_id=wf-os-2026-09-04 before this worker wrote anything), the commands block, the five-role worker roster (model id + effort from each .claude/agents/*.md frontmatter) plus the ≤3-concurrent ceiling cited to EZiL-Works/docs/ORCHESTRATION-LOG.md:22 (measured on the sibling project, not here), the harness-limit note (07:30Z log entry), recovery, stalls, and _MANDATORY §9's report requirements with the three refusal quotes (G1 autobuild, G3 Dependabot trailer, T2 /api/health). VERIFICATION RUN: bun tools/waves.ts docs/TASKS.csv exit 0, ends 'no ownership overlaps, no cycles, every dependency resolves.'; bun tools/ledger.ts exit 0, '11 artifact(s) across 1 run(s) (11 from main, 0 from 0 sibling worktree(s), 0 checkout duplicate(s) of main skipped)' then 'stall check: 27 row(s) inspected, 1 in flight (1 by row, 0 by artifact -- 11 from main, 0 from worktrees)' (the 1 in-flight row is O4 itself; ledger.ts apply was NOT run -- it writes docs/TASKS.csv, which this row does not own); ./tools/test.sh tools exit 0, 76 pass / 0 fail, 134 expect() calls, 2 files; tools/worktree.sh list exit 0, 4 worktrees shown (main, O4, T4, T5) -- add/remove not run, other workers' worktrees are live. LINK CHECK: 12 distinct markdown link targets extracted (grep -o '](\([^)]*\))'), each resolved relative to docs/ and tested with -e: 12/12 OK, 0 dead. MUTATION-PROVED: a scratch copy with 2 known-absent links appended -> checker prints 2 MISS (RED); the shipped file -> 0 MISS (GREEN). RUNG CHECK: all 9 DONE_LADDER names from tools/waves.ts found byte-for-byte in the doc (9/9); two deliberately misspelled rung strings (INDEPENDENT_TEST_PASSS, STATIC_CHECK_PASS) correctly do not match (RED), proving the check can fail. git status clean before commit, no stray .git/MERGE_HEAD."
G3,oss,1,"DCO check workflow: one job, no job-level if, bot allowlist inside the step",.github/workflows/dco.yml,G1,worker-opus,opus,max,worktree,plan §6 wave 1,actionlint; throwaway PR without sign-off -> failure (not pending); amended -s -> green,,INDEPENDENT_TEST_PASS,done,wf-os-2026-09-04,"1 file: .github/workflows/dco.yml (296 lines). 3 commits: a37fbda run-artifact(running), 16a132f dco.yml, plus this artifact update. STRUCTURE (asserted by python, all pass): exactly one job 'dco', display name 'DCO' (the required context); no job-level AND no step-level if:; no paths/paths-ignore filter (trap 1); permissions == {contents: read} only; concurrency dco-<pr#> cancel-in-progress; actions/checkout@v7 with fetch-depth: 0; exactly one run: step; no ${{ }} inside the run body (SHAs passed via env:), so the tested script is byte-identical to the shipped one (sha256[:16] 1f14410dd2fbef95, verified against git show HEAD:.github/workflows/dco.yml). PARSE: yaml.safe_load OK. bash -n on the extracted body OK -- and it caught a REAL bug first: written inline, [[ $t =~ ...[<](.*)[>]... ]] is a bash SYNTAX ERROR (bash lexes the unquoted < as a redirection before the regex engine sees it); fixed by holding the ERE in $SOB_RE and referencing it unquoted. actionlint NOT installed (which actionlint -> not found) and MANDATORY-5 forbids installing; substituted per G1's precedent: gh api repos/actions/checkout/git/ref/tags/v7 resolves -> 3d3c42e5aac5ba805825da76410c181273ba90b1. MUTATION HARNESS (scratch git repos, running the VERBATIM extracted script): 13 cases, 13/13 expected exit code, 0 mismatches. a) 2 signed-off -> exit 0, 'DCO: 2 commits checked, 0 bot commits skipped, 0 failures'. b) 1 unsigned -> exit 1, names the sha + 'no Signed-off-by trailer'. c) trailer email != author email -> exit 1, prints ""author 'Ada Lovelace <ada@example.com>' vs trailer 'Ada Lovelace <someone.else@example.com>'"". d1) dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com> with NO trailer -> 'skip (bot)', exit 0. d2) SAME author WITH the really-observed trailer 'Signed-off-by: dependabot[bot] <support@github.com>' -> 'skip (bot)', exit 0. e) head==base -> exit 0 with an explicit 'adds no commits' paragraph then 'DCO: 0 commits checked, 0 bot commits skipped, 0 failures'. f) trailer NAME differs, email matches -> exit 1 with the specific comparison (distinct message from 'missing'). g) unsigned merge commit -> 'skip (merge)', exit 0. h) copilot-swe-agent[bot] no trailer -> 'skip (bot)'. i) 2nd of 3 trailers matches, email case differs -> exit 0. j) bot NAME + non-noreply email -> exit 1 (negative control). k) noreply email + non-bot name -> exit 1 (negative control). l) base sha unreachable -> exit 1 'DCO: FAILED -- BASE_SHA ... is not reachable', never a silent empty-range pass (negative control). MUTATION PROOFS (break -> RED, restore -> GREEN, shipped sha256 unchanged 1f14410dd2fbef95 before and after): M1 disable the bot gate (is_bot=1 -> is_bot=0) -> case d2 goes RED with the support@github.com mismatch, proving the gate is load-bearing. M2 the WRONG ordering (skip a bot only when it has no trailer) -> d1 STILL GREEN but d2 goes RED -- i.e. the briefed test case cannot see this defect and only the measured one can; this is the defect that would have made all 7 open Dependabot PRs unmergeable. M3 stop counting merge skips -> the reconciliation guard fires: 'DCO: FAILED -- 3 commit(s) in range but only 2 accounted for', exit 1. Restore -> all 13 cases GREEN again. REAL-DATA RUNS against this repo: (1) main..task/G3 -> 'DCO: 2 commits checked, 0 bot commits skipped, 0 failures'. (2) aaf158a~1..8099059 (15 real commits of main) -> 13 checked, 2 'skip (merge)' on the repo's own unsigned merge commits aaf158a and 8099059, exit 0 -- without trap 3 this real range would be RED. BRIEF CLAUSE REFUTED, measured, and the measured thing done: the brief says 'Dependabot commits carry no Signed-off-by trailer'. FALSE. All 7 open Dependabot PRs (gh api repos/EZiLHQ/ezil-os/pulls/{3,5,9}/commits) carry 'Signed-off-by: dependabot[bot] <support@github.com>' against author 'dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>' -- name matches, EMAIL DOES NOT. The allowlist is still required (conclusion survives) but the reason and the required ORDERING change: the bot gate must run BEFORE any trailer is read. THIRD BOT FOUND, not in the brief's two-name set: 'copilot-swe-agent[bot] <198982749+Copilot@users.noreply.github.com>', 2 commits in history, ZERO Signed-off-by trailers (note the name/email skew: display name copilot-swe-agent[bot], email login segment 'Copilot'). Added. github-actions[bot] id 41898282 confirmed via gh api users/github-actions[bot]; no commits here yet, allowlisted pre-emptively. DEVIATION: merge commits are skipped (trap 3), which the brief does not mention -- because the remedy the brief mandates printing, 'git rebase --signoff', DROPS merge commits, and because main's own merges are unsigned (proved by real-data run 2). Each is printed as 'skip (merge)' so nothing is unaccounted for. NOT VERIFIED HERE (supervisor hand-off): no workflow run has ever executed on GitHub, so 'a check run named DCO is actually POSTED' is argued from the codeql.yml precedent, not observed. REAL DEPENDABOT COMMIT (not a reconstruction -- the actual object, closest thing to INDEPENDENT_TEST_PASS without push access): fetched refs/pull/5/head and ran the shipped script over PR #5's real range 7fe1267..2c9da5c -> '2c9da5cf... dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com> / skip (bot)' and 'DCO: 0 commits checked, 1 bot commits skipped, 0 failures', exit 0. SIX-CONTEXT RECONCILIATION for G4: the repo now has exactly six PR-gating job display names, and 'DCO' is the sixth. Nothing in docs/ enumerates them (only the TASKS.csv G4 cell says 'six required contexts'), so this enumeration is the pin. G4 must use the JOB DISPLAY NAMES verbatim, not workflow names: 'worker (typecheck + unit)' | 'app (typecheck + unit)' | 'sdk + mcp (typecheck + unit)' | 'shell (bundle check + browser suites)' | 'CodeQL (javascript-typescript)' | 'DCO'. A ruleset entry of 'dco' or 'DCO / DCO' is a permanent hang. deploy.yml's 4 jobs, labeler's 'label' and stale's 'sweep' are NOT PR gates and must not be added. BLIND SPOT: git's %(trailers:) only sees a trailer block that is the LAST paragraph of the message. A commit with prose AFTER its sign-off will be reported as 'no Signed-off-by trailer' on a trailer the contributor can see. That is git's own definition of a trailer and the brief forbids the whole-body regex the probot DCO app uses, so the behaviour is correct as briefed -- but it is the one input shape where the failure message misleads."
T4,ci,1,CI 3-OS matrix; portable Playwright; ubuntu-only hard-failing container and local jobs,.github/workflows/ci.yml;.github/actions/setup-playwright/action.yml,T0,worker-sonnet,sonnet,high,worktree,.gitattributes;plan §4 item 6,actionlint; all three OS legs green on a PR; Windows leg log shows bash -n file list,,INDEPENDENT_TEST_PASS,done,wf-os-2026-09-04,"Two owned files rewritten/added: .github/workflows/ci.yml (3-OS matrix on worker/app/connectors/shell; new ubuntu-only tools, container, local jobs) and .github/actions/setup-playwright/action.yml (new composite action). Both parse clean under python3 -c ""import yaml; yaml.safe_load(...)"" (ci.yml's 'on:' key parses as the boolean True under PyYAML -- confirmed identical, pre-existing behaviour in the untouched codeql.yml, not a defect). Every run: body (25 in ci.yml + 4 in the composite action = 29) extracted and passed `bash -n` after substituting representative values for every ${{ }} expression. Every action tag resolves: actions/checkout@v7, actions/setup-node@v7, oven-sh/setup-bun@v2, actions/cache@v4, all verified via `gh api repos/<owner>/<repo>/git/ref/tags/<tag>` (G1's precedent); actionlint was not installed, per the brief. Matrix job display names verified against real GitHub check-run data (gh api on microsoft/playwright's actual workflow runs): a static `name:` plus a single-axis `matrix.os` becomes '<name> (<os value>)', confirming the brief's own prediction -- resulting REQUIRED-STATUS-CONTEXT LIST (15 total): worker (typecheck + unit) (ubuntu-latest|windows-latest|macos-latest); app (typecheck + unit) (same 3); sdk + mcp (typecheck + unit) (same 3); shell (bundle check + browser suites) (same 3); tools (typecheck + unit); container (image-gated placeholder); local (typecheck + unit). MEASURED (not assumed), the Windows bundle-drift hazard: cloned this repo, checked out b4c0c98 with core.autocrlf=true (documented Git-for-Windows default), and confirmed shell/src/**/*.css, shell/ezil/**/*.js (non-.mjs) and shell/src/icons/*.svg check out CRLF (.gitattributes, owned by T0, pins only *.sh/*.bash/*.mjs/*.ps1 and the 3 committed bundle files) -- a from-those-sources `bash shell/build-shell.sh --check` then exits 1, diffing bundle.min.css and icons.js against the LF-built committed copy (bundle.min.js happens not to differ). Mitigated with a STEP-level `if: runner.os != 'Windows'` on the 'Committed bundle matches source' step only, with the measurement and a .gitattributes hand-off recorded in its own comment; the guard still runs on ubuntu+macOS (macOS git default leaves checkout LF, per GitHub's own line-ending docs), and the bundle files under test are unaffected (-text protected, byte-identical on every OS) so the real suites still test the real bundle on Windows. Read shell/build-shell.sh in full: find|sort (L74,76,77,131), mapfile (L110,131), mktemp (L111,157), base64 (L141-142), diff -r (L165,169) are all Git-for-Windows/MSYS-bundled coreutils -- no action needed beyond the CRLF gate above, which is the one place CONTENT (not tooling) differs by OS. Read shell/run-tests.sh in full: NOT invoked by ci.yml (which inlines its own suite loops, unchanged, per the brief's 'stay as listed'), so its own cross-OS hazards (mktemp -t template differences and GNU-only `timeout` at L172/L202, absent from macOS's default userland) need no gate in this file; its L46 comment referencing /opt/ezil-testkit is now stale (this row's install path moved to ${{ runner.temp }}/ezil-testkit) -- a hand-off, not an edit, since run-tests.sh is outside owns_files. Composite action verified end-to-end on this box: npm i playwright@1.62.1 into a scratch dir; PLAYWRIGHT_BROWSERS_PATH=0 + `npx playwright install --with-deps chromium` downloaded Chrome for Testing into node_modules/playwright-core/.local-browsers (the one OS-independent path this design relies on, confirmed via WebFetch of playwright.dev/docs/browsers); a probe script using the EXACT createRequire(PLAYWRIGHT_REQUIRE_DIR) resolution shell/window-chrome-browser-test.mjs uses launched chromium and read text off a real rendered page. Mutation-proven the local job's hard-fail-on-skip logic under GitHub's REAL bash invocation (bash --noprofile --norc -eo pipefail {0}, confirmed via WebFetch of GitHub's docs, which is why a naive `pipeline; then check $?` design was rejected in favour of `if ! pipeline; then`): (1) real repo, image present, 124 pass/0 fail/0 skip -> reaches end, exit 0; (2) synthetic bun exiting 1 with '1 fail' -> prints its own ::error:: and exits 1 WITHOUT reaching the skip check; (3) synthetic bun exiting 0 with '1 skip' -> prints the ::error:: naming row T3 and exits 1. Also ran the container job's placeholder step body directly: prints ::error:: naming T3, exit 1. Ran the tools job's real commands locally (PATH=sdk/node_modules/.bin bun run --cwd tools typecheck: 0 errors; bun test tools/: 76 pass/0 fail) and the local job's real commands (bun run --cwd local typecheck: 0 errors, confirmed app/+local/ both already installed on this box satisfy local/tsconfig.json's documented drizzle-orm requirement). Deferred: the real three-OS PR proof, per the brief, is a supervisor step after merge -- named as a hand-off, not attempted here (no push/PR opened by this worker). owns_files respected: only .github/workflows/ci.yml and .github/actions/setup-playwright/action.yml touched (git diff --stat vs fc6fbcd confirms); no clause of the brief was found to be wrong enough to refuse -- one clause (an EZIL_REQUIRE_CONTAINER_TESTS env var) was already flagged as non-existent inside the brief's own text and not used, matching the brief's own correction."
N1,cloud,1,"os.ezil.work: Vercel project domain, unproxied A record, Supabase redirect allowlist, real sign-in",,,supervisor,fable,high,none,plan §4 item 8,dig +short os.ezil.work = 76.76.21.21; curl -sD- https://os.ezil.work/; real sign-in,founder,TARGET_ENVIRONMENT_CONFIRMED,pending,,
T5,local,2,"local doctor + real-browser smoke (non-uniform pixels, input reaches the desktop) + the integration fixes the smoke forces",local/src/doctor.ts;local/tests/**;local/src/**,T1;T2,worker-opus,opus,max,worktree,local/src/contract/shell-api.ts;app/src/server/shell/boot-payload.ts,bun run --cwd local doctor && bun test local/tests/local-smoke.container.test.ts,,WORKER_RUNTIME_EVIDENCE,running,wf-os-2026-09-04,
T6,release,2,release.yml (tarball + launchers + SHA256SUMS + attestation) and the launcher pair,.github/workflows/release.yml;deploy/launcher/ezil-os.sh;deploy/launcher/ezil-os.ps1,T3;T5,worker-sonnet,sonnet,high,worktree,deploy/images.env,actionlint; bash -n deploy/launcher/ezil-os.sh; v0.2.0-rc.1 pre-release assets verify,,STATIC_CHECKS_PASS,pending,,
G4,oss,2,Enable Discussions; branch ruleset with six required contexts; close the six major Dependabot PRs,,G3;G1;T4,supervisor,fable,high,none,plan §6 wave 2 G4,gh api repos/EZiLHQ/ezil-os/rulesets/<id> | jq .rules; gh pr list,,TARGET_ENVIRONMENT_CONFIRMED,pending,,
R1,release,2,deploy.yml gains needs:image and a release job; CHANGELOG 0.2.0; docs/RELEASE.md,.github/workflows/deploy.yml;CHANGELOG.md;docs/RELEASE.md,T3;T6,worker-sonnet,sonnet,high,worktree,plan §6 wave 2 R1,actionlint .github/workflows/deploy.yml,,STATIC_CHECKS_PASS,pending,,
A1,access,3,"ezil_os_access table, EZIL_OS_ACCESS_MODE env, assertOsAccess(), tools/invite.ts",app/drizzle/0002_os_access.sql;app/drizzle/meta/**;app/src/server/db/schema/os-access.ts;app/src/server/db/schema/index.ts;app/src/env.ts;app/src/server/api/os-access.ts;app/src/server/api/os-access.test.ts;tools/invite.ts,O3,worker-opus,opus,max,worktree,plan §6 wave 3 track A design,./tools/test.sh app; migration applied to hosted by hand (schema before code),founder,INDEPENDENT_TEST_PASS,running,wf-os-2026-09-04,
A2,access,3,The gate in protectedProcedure and the three page gates; signup deleted; entry-contract pins it,app/src/server/api/trpc.ts;app/src/app/os/page.tsx;app/src/app/computers/layout.tsx;app/src/app/computer/layout.tsx;app/src/app/login/actions.ts;app/src/app/login/login-form.tsx;app/src/app/login/page.tsx;app/src/app/login/entry-contract.test.ts;app/src/app/auth/callback/route.ts;app/signup.mjs,A1,worker-opus,opus,max,worktree,app/src/server/api/os-access.ts,"./tools/test.sh app; mutation: comment out the check -> fresh account reaches /os (RED), restore (GREEN)",,INDEPENDENT_TEST_PASS,pending,,
N2,cloud,3,e2e defaults to os.ezil.work; RUNBOOK/README canonical host + Local mode; LOCAL-MODE.md; PLATFORM-NOTES local annex,e2e/prod.mjs;e2e/await-deployed-bundle.mjs;e2e/prod-mobile-keyboard.mjs;e2e/prod-reconcile.mjs;e2e/prod-responsiveness.mjs;e2e/prod-system-tab.mjs;e2e/release-and-wait.mjs;docs/RUNBOOK.md;README.md;docs/LOCAL-MODE.md;docs/PLATFORM-NOTES.md,N1;T5;A2,worker-sonnet,sonnet,high,worktree,plan §6 wave 3 N2,EZIL_E2E_APP=https://os.ezil.work node e2e/await-deployed-bundle.mjs && node e2e/prod.mjs,,TARGET_ENVIRONMENT_CONFIRMED,pending,,
X1,research,3,"Measured survey: computer-use drivers, the sidecar as the seam, GPU/CUDA passthrough per OS",docs/research/local-agents.md,,worker-sonnet,sonnet,high,worktree,worker/sidecar/contract.mjs,every claim cites a URL or a command run here,,COMMITTED,running,wf-os-2026-09-04,
R2,release,4,"Secrets, EZIL_OS_ACCESS_MODE on Vercel, tag v0.2.0, watch deploy, verify_container run",,R1;N2;G4;A2,supervisor,fable,high,none,docs/RELEASE.md,wrangler deployments list --name ezil-os-worker; gh workflow run deploy.yml -f verify_container=true; e2e/prod*.mjs green after deploy,founder,TARGET_ENVIRONMENT_CONFIRMED,pending,,
O5,kit,4,"CONFIDENCE-MAP.md: what is proven, by whom, to which rung",docs/CONFIDENCE-MAP.md,R2,verifier,opus5,high,worktree,plan §7,every number re-run in-session,,COMMITTED,pending,,
M1,worker,3,mobile-keyboard container test: 8 failures against the real image and 5 vacuous passes (early return counted as pass),worker/scripts/mobile-keyboard.container.test.ts,,worker-sonnet,sonnet,high,worktree,worker/src/browser-sidecar.container.test.ts:202 (SKIP_REASON + itIf pattern),./tools/test.sh worker scripts/mobile-keyboard.container.test.ts (image present) — failures explained or fixed; no early-return pass,,INDEPENDENT_TEST_PASS,pending,,found by O3: pre-existing on main; CI never sees it (no image); consistent with the overlay gap recorded by T0
M2,worker,3,"browser-sidecar-contract.test.ts resolves the contract path to the worktree root, so its 10 tests skip in every worktree",worker/src/browser-sidecar-contract.test.ts,,worker-sonnet,sonnet,high,worktree,tools/worktree.sh (git-common-dir derivation),"./tools/test.sh worker src/browser-sidecar-contract.test.ts from inside a worktree: 10 run, 0 skip",,INDEPENDENT_TEST_PASS,pending,,found by O3
T7,image,3,"images.env carries the overlay tag (EZIL_NEKO_OVERLAY_TAG) and image.yml reads it; pin the m1k1o base by digest, not :latest; write EZIL_DESKTOP_TAG back after a publish",deploy/images.env;.github/workflows/image.yml;docker/neko/pins.env,T3,worker-sonnet,sonnet,high,worktree,local/src/container/run-spec.ts (parseImagesEnv),bun test local/src/container/; grep -c OVERLAY deploy/images.env .github/workflows/image.yml,,STATIC_CHECKS_PASS,pending,,hand-offs from T3: overlay suffix lives in a workflow env; NEKO_BASE_IMAGE is :latest (not reproducible); nothing writes the desktop tag back
T8,ci,3,CI container and local jobs pull ghcr.io/ezilhq/ezil-os-desktop (GITHUB_TOKEN login) and run the container suites for real; retire the placeholder,.github/workflows/ci.yml,T4;T5;T3,worker-sonnet,sonnet,high,worktree,deploy/images.env;local/tests/local-smoke.container.test.ts,PR run: container and local jobs green with the image pulled; a run with the image absent is red,,INDEPENDENT_TEST_PASS,pending,,T4 left container/local hard-failing by design until the GHCR image existed; it exists (private) since image.yml run 33858675382
